Anc	Der	PanelFreqA	PanelFreqB	Num
18	0	0.85	0.95	1
18	0	0.9	0.55	1
18	0	0.9	0.7	1
18	0	0.9	0.95	1
18	0	0.95	0.7	1
18	0	0.95	0.8	1
18	1	0.0	0.05	14
18	1	0.0	0.1	9
18	1	0.0	0.15	2
18	1	0.0	0.2	3
18	1	0.0	0.25	1
18	1	0.0	0.3	2
18	1	0.0	0.45	1
18	1	0.05	0.0	41
18	1	0.05	0.05	1
18	1	0.05	0.1	1
18	1	0.05	0.15	1
18	1	0.05	0.2	1
18	1	0.05	0.4	1
18	1	0.1	0.0	34
18	1	0.1	0.05	2
18	1	0.1	0.1	2
18	1	0.1	0.15	2
18	1	0.1	0.2	2
18	1	0.1	0.25	2
18	1	0.1	0.3	2
18	1	0.1	0.35	2
18	1	0.1	0.75	1
18	1	0.15	0.0	16
18	1	0.15	0.05	4
18	1	0.15	0.1	1
18	1	0.15	0.15	3
18	1	0.15	0.2	1
18	1	0.15	0.25	2
18	1	0.2	0.0	11
18	1	0.2	0.05	3
18	1	0.2	0.1	3
18	1	0.2	0.15	1
18	1	0.2	0.25	2
18	1	0.2	0.45	1
18	1	0.2	0.5	1
18	1	0.2	0.8	1
18	1	0.25	0.0	16
18	1	0.25	0.05	6
18	1	0.25	0.1	3
18	1	0.25	0.25	1
18	1	0.25	0.35	2
18	1	0.25	0.4	2
18	1	0.25	0.5	1
18	1	0.25	0.55	1
18	1	0.3	0.0	6
18	1	0.3	0.05	2
18	1	0.3	0.1	2
18	1	0.3	0.15	1
18	1	0.3	0.2	1
18	1	0.3	0.25	1
18	1	0.3	0.3	2
18	1	0.3	0.35	2
18	1	0.3	0.4	1
18	1	0.3	0.45	1
18	1	0.3	0.5	1
18	1	0.3	0.55	1
18	1	0.3	0.6	1
18	1	0.3	0.7	1
18	1	0.35	0.0	4
18	1	0.35	0.05	4
18	1	0.35	0.15	4
18	1	0.35	0.2	1
18	1	0.35	0.35	1
18	1	0.35	0.4	3
18	1	0.35	0.5	2
18	1	0.35	0.65	2
18	1	0.35	0.7	1
18	1	0.35	0.8	1
18	1	0.4	0.0	2
18	1	0.4	0.05	1
18	1	0.4	0.1	2
18	1	0.4	0.15	1
18	1	0.4	0.2	2
18	1	0.4	0.35	1
18	1	0.4	0.4	1
18	1	0.4	0.45	1
18	1	0.4	0.65	2
18	1	0.4	0.8	1
18	1	0.45	0.05	2
18	1	0.45	0.1	1
18	1	0.45	0.15	2
18	1	0.45	0.2	2
18	1	0.45	0.25	2
18	1	0.45	0.3	2
18	1	0.45	0.35	1
18	1	0.45	0.4	1
18	1	0.45	0.45	1
18	1	0.45	0.6	1
18	1	0.45	0.75	1
18	1	0.5	0.0	2
18	1	0.5	0.05	1
18	1	0.5	0.1	1
18	1	0.5	0.15	3
18	1	0.5	0.25	3
18	1	0.5	0.35	1
18	1	0.5	0.4	1
18	1	0.55	0.05	1
18	1	0.55	0.25	3
18	1	0.55	0.3	1
18	1	0.55	0.5	1
18	1	0.55	0.55	2
18	1	0.55	0.65	2
18	1	0.6	0.0	2
18	1	0.6	0.25	1
18	1	0.6	0.5	2
18	1	0.6	0.55	1
18	1	0.65	0.05	1
18	1	0.65	0.1	1
18	1	0.65	0.15	1
18	1	0.65	0.25	1
18	1	0.65	0.35	2
18	1	0.65	0.6	1
18	1	0.65	0.65	1
18	1	0.7	0.0	1
18	1	0.7	0.15	1
18	1	0.7	0.3	1
18	1	0.7	0.55	1
18	1	0.7	0.75	1
18	1	0.7	0.8	1
18	1	0.75	0.15	1
18	1	0.75	0.2	1
18	1	0.75	0.35	1
18	1	0.75	0.45	1
18	1	0.75	0.5	2
18	1	0.75	0.55	1
18	1	0.75	0.6	1
18	1	0.8	0.1	1
18	1	0.8	0.4	1
18	1	0.8	0.5	1
18	1	0.8	0.65	1
18	1	0.85	0.25	1
18	1	0.85	0.3	1
18	1	0.85	0.4	1
18	1	0.85	0.65	1
18	1	0.85	0.75	1
18	1	0.85	0.8	1
18	1	0.9	0.35	1
18	1	0.9	0.65	1
18	1	0.9	0.8	1
18	1	0.9	1.0	1
18	1	0.95	0.9	1
18	1	0.95	1.0	1
18	10	0.0	0.05	3
18	10	0.0	0.1	6
18	10	0.0	0.15	2
18	10	0.0	0.2	3
18	10	0.0	0.25	1
18	10	0.0	0.3	5
18	10	0.0	0.35	2
18	10	0.05	0.0	9
18	10	0.05	0.1	2
18	10	0.05	0.15	1
18	10	0.05	0.2	1
18	10	0.05	0.25	2
18	10	0.05	0.3	4
18	10	0.05	0.35	1
18	10	0.05	0.45	2
18	10	0.05	0.85	1
18	10	0.1	0.0	7
18	10	0.1	0.05	2
18	10	0.1	0.1	2
18	10	0.1	0.15	3
18	10	0.1	0.2	2
18	10	0.1	0.25	1
18	10	0.1	0.35	1
18	10	0.1	0.55	2
18	10	0.15	0.0	7
18	10	0.15	0.05	1
18	10	0.15	0.1	2
18	10	0.15	0.15	2
18	10	0.15	0.2	3
18	10	0.15	0.3	2
18	10	0.15	0.4	2
18	10	0.15	0.45	2
18	10	0.15	0.75	1
18	10	0.2	0.0	1
18	10	0.2	0.05	4
18	10	0.2	0.1	1
18	10	0.2	0.15	2
18	10	0.2	0.2	2
18	10	0.2	0.25	1
18	10	0.2	0.3	1
18	10	0.2	0.35	1
18	10	0.2	0.4	1
18	10	0.2	0.45	2
18	10	0.2	0.5	1
18	10	0.2	0.6	1
18	10	0.2	0.65	2
18	10	0.2	0.7	1
18	10	0.25	0.0	1
18	10	0.25	0.1	3
18	10	0.25	0.15	2
18	10	0.25	0.2	1
18	10	0.25	0.65	2
18	10	0.25	0.7	1
18	10	0.25	0.75	1
18	10	0.3	0.0	4
18	10	0.3	0.05	2
18	10	0.3	0.15	1
18	10	0.3	0.25	3
18	10	0.3	0.3	1
18	10	0.3	0.4	1
18	10	0.3	0.55	1
18	10	0.3	0.75	1
18	10	0.3	0.8	1
18	10	0.3	0.9	1
18	10	0.35	0.0	4
18	10	0.35	0.05	2
18	10	0.35	0.1	4
18	10	0.35	0.15	1
18	10	0.35	0.2	1
18	10	0.35	0.25	1
18	10	0.35	0.3	2
18	10	0.35	0.35	1
18	10	0.35	0.4	2
18	10	0.35	0.5	1
18	10	0.35	0.55	1
18	10	0.35	0.8	4
18	10	0.4	0.0	1
18	10	0.4	0.05	1
18	10	0.4	0.15	1
18	10	0.4	0.2	1
18	10	0.4	0.25	1
18	10	0.4	0.35	1
18	10	0.4	0.45	1
18	10	0.4	0.5	2
18	10	0.4	0.6	1
18	10	0.4	0.95	1
18	10	0.45	0.0	2
18	10	0.45	0.1	1
18	10	0.45	0.15	1
18	10	0.45	0.2	1
18	10	0.45	0.25	1
18	10	0.45	0.5	1
18	10	0.45	0.55	2
18	10	0.45	0.6	1
18	10	0.45	0.65	1
18	10	0.45	0.7	1
18	10	0.45	0.75	1
18	10	0.45	0.85	1
18	10	0.5	0.1	2
18	10	0.5	0.15	1
18	10	0.5	0.35	1
18	10	0.5	0.4	1
18	10	0.5	0.5	2
18	10	0.5	0.65	1
18	10	0.5	0.85	1
18	10	0.55	0.2	3
18	10	0.55	0.25	1
18	10	0.55	0.4	2
18	10	0.55	0.45	2
18	10	0.55	0.5	1
18	10	0.55	0.55	1
18	10	0.55	0.7	1
18	10	0.6	0.0	1
18	10	0.6	0.05	1
18	10	0.6	0.5	3
18	10	0.6	0.55	2
18	10	0.6	0.6	1
18	10	0.6	0.8	1
18	10	0.6	0.9	2
18	10	0.6	0.95	1
18	10	0.6	1.0	1
18	10	0.65	0.05	2
18	10	0.65	0.55	1
18	10	0.65	0.65	1
18	10	0.65	0.8	1
18	10	0.65	1.0	1
18	10	0.7	0.0	1
18	10	0.7	0.5	2
18	10	0.7	0.55	2
18	10	0.7	0.6	1
18	10	0.7	0.7	2
18	10	0.7	0.75	1
18	10	0.75	0.6	1
18	10	0.75	0.75	1
18	10	0.75	0.85	1
18	10	0.75	1.0	2
18	10	0.8	0.2	1
18	10	0.8	0.7	1
18	10	0.8	0.85	1
18	10	0.85	0.65	1
18	10	0.85	0.9	1
18	10	0.85	0.95	1
18	10	0.85	1.0	1
18	10	0.9	0.35	1
18	10	0.9	0.7	1
18	10	0.9	0.75	1
18	10	0.9	0.9	1
18	10	0.95	0.75	1
18	10	0.95	0.85	2
18	10	1.0	0.7	1
18	10	1.0	0.75	1
18	10	1.0	0.85	1
18	11	0.0	0.05	7
18	11	0.0	0.1	6
18	11	0.0	0.15	2
18	11	0.0	0.2	5
18	11	0.0	0.25	3
18	11	0.0	0.3	5
18	11	0.0	0.4	3
18	11	0.0	0.45	1
18	11	0.0	0.5	1
18	11	0.0	0.55	3
18	11	0.0	0.6	1
18	11	0.0	0.65	1
18	11	0.05	0.0	14
18	11	0.05	0.05	2
18	11	0.05	0.1	4
18	11	0.05	0.15	1
18	11	0.05	0.2	3
18	11	0.05	0.25	2
18	11	0.05	0.3	3
18	11	0.05	0.35	1
18	11	0.05	0.5	1
18	11	0.05	0.55	1
18	11	0.05	0.8	1
18	11	0.1	0.0	12
18	11	0.1	0.05	4
18	11	0.1	0.1	1
18	11	0.1	0.15	1
18	11	0.1	0.2	2
18	11	0.1	0.25	2
18	11	0.1	0.3	3
18	11	0.1	0.5	2
18	11	0.1	0.55	1
18	11	0.1	0.6	1
18	11	0.1	0.65	1
18	11	0.1	0.85	1
18	11	0.15	0.0	3
18	11	0.15	0.05	2
18	11	0.15	0.1	3
18	11	0.15	0.15	3
18	11	0.15	0.2	2
18	11	0.15	0.25	2
18	11	0.15	0.35	1
18	11	0.15	0.45	1
18	11	0.15	0.5	1
18	11	0.15	0.75	2
18	11	0.15	0.9	1
18	11	0.2	0.0	4
18	11	0.2	0.05	3
18	11	0.2	0.1	4
18	11	0.2	0.2	1
18	11	0.2	0.25	3
18	11	0.2	0.3	2
18	11	0.2	0.35	2
18	11	0.2	0.4	4
18	11	0.2	0.5	2
18	11	0.2	0.6	1
18	11	0.2	0.8	1
18	11	0.2	0.85	1
18	11	0.25	0.0	5
18	11	0.25	0.05	2
18	11	0.25	0.1	5
18	11	0.25	0.15	4
18	11	0.25	0.2	2
18	11	0.25	0.3	2
18	11	0.25	0.4	6
18	11	0.25	0.5	1
18	11	0.25	0.55	1
18	11	0.25	0.6	1
18	11	0.25	0.65	2
18	11	0.25	1.0	1
18	11	0.3	0.05	1
18	11	0.3	0.1	2
18	11	0.3	0.2	1
18	11	0.3	0.25	2
18	11	0.3	0.3	2
18	11	0.3	0.4	1
18	11	0.3	0.45	2
18	11	0.3	0.5	1
18	11	0.3	0.55	4
18	11	0.3	0.7	1
18	11	0.35	0.0	3
18	11	0.35	0.05	2
18	11	0.35	0.1	2
18	11	0.35	0.15	4
18	11	0.35	0.2	1
18	11	0.35	0.25	1
18	11	0.35	0.3	2
18	11	0.35	0.4	1
18	11	0.35	0.45	1
18	11	0.35	0.5	1
18	11	0.35	0.75	1
18	11	0.35	0.8	1
18	11	0.4	0.0	1
18	11	0.4	0.1	2
18	11	0.4	0.15	1
18	11	0.4	0.25	1
18	11	0.4	0.35	3
18	11	0.4	0.4	1
18	11	0.4	0.45	3
18	11	0.4	0.55	2
18	11	0.4	0.7	1
18	11	0.45	0.0	1
18	11	0.45	0.05	1
18	11	0.45	0.1	1
18	11	0.45	0.35	1
18	11	0.45	0.5	1
18	11	0.45	0.6	2
18	11	0.5	0.0	2
18	11	0.5	0.1	2
18	11	0.5	0.15	1
18	11	0.5	0.2	1
18	11	0.5	0.3	2
18	11	0.5	0.45	1
18	11	0.5	0.65	1
18	11	0.5	0.7	2
18	11	0.5	0.75	1
18	11	0.5	1.0	1
18	11	0.55	0.1	1
18	11	0.55	0.2	1
18	11	0.55	0.25	2
18	11	0.55	0.35	1
18	11	0.55	0.4	1
18	11	0.55	0.55	1
18	11	0.55	0.6	1
18	11	0.55	0.75	1
18	11	0.55	0.8	2
18	11	0.55	0.9	1
18	11	0.6	0.15	1
18	11	0.6	0.2	1
18	11	0.6	0.25	1
18	11	0.6	0.3	1
18	11	0.6	0.4	1
18	11	0.6	0.65	1
18	11	0.6	0.75	1
18	11	0.6	0.8	1
18	11	0.65	0.2	1
18	11	0.65	0.4	1
18	11	0.65	0.45	1
18	11	0.65	0.8	2
18	11	0.65	0.9	1
18	11	0.7	0.45	1
18	11	0.7	0.55	1
18	11	0.7	0.7	1
18	11	0.7	0.8	1
18	11	0.7	0.85	1
18	11	0.7	1.0	1
18	11	0.75	0.35	1
18	11	0.75	0.6	1
18	11	0.75	0.65	2
18	11	0.75	0.9	1
18	11	0.75	1.0	1
18	11	0.8	0.15	1
18	11	0.8	0.4	1
18	11	0.8	0.45	2
18	11	0.8	0.55	1
18	11	0.8	0.75	1
18	11	0.8	0.8	1
18	11	0.8	0.9	1
18	11	0.8	1.0	1
18	11	0.85	0.2	1
18	11	0.85	0.3	1
18	11	0.85	0.35	1
18	11	0.85	0.7	1
18	11	0.9	0.5	1
18	11	0.9	0.7	1
18	11	0.9	1.0	3
18	11	0.95	0.6	1
18	11	0.95	0.65	1
18	11	0.95	1.0	1
18	11	1.0	0.65	1
18	11	1.0	0.75	2
18	12	0.0	0.05	9
18	12	0.0	0.1	6
18	12	0.0	0.15	6
18	12	0.0	0.2	2
18	12	0.0	0.25	3
18	12	0.0	0.3	2
18	12	0.0	0.35	2
18	12	0.0	0.4	2
18	12	0.0	0.45	1
18	12	0.0	0.6	1
18	12	0.0	0.7	1
18	12	0.05	0.0	30
18	12	0.05	0.05	1
18	12	0.05	0.1	3
18	12	0.05	0.15	4
18	12	0.05	0.2	1
18	12	0.05	0.25	1
18	12	0.05	0.3	2
18	12	0.05	0.35	4
18	12	0.05	0.4	1
18	12	0.05	0.45	2
18	12	0.05	0.5	1
18	12	0.05	0.75	1
18	12	0.05	0.85	1
18	12	0.1	0.0	11
18	12	0.1	0.05	2
18	12	0.1	0.1	2
18	12	0.1	0.15	3
18	12	0.1	0.2	2
18	12	0.1	0.25	2
18	12	0.1	0.3	4
18	12	0.1	0.5	1
18	12	0.1	0.95	1
18	12	0.15	0.0	9
18	12	0.15	0.05	1
18	12	0.15	0.1	3
18	12	0.15	0.15	1
18	12	0.15	0.2	4
18	12	0.15	0.25	5
18	12	0.15	0.3	2
18	12	0.15	0.35	1
18	12	0.15	0.4	1
18	12	0.15	0.45	1
18	12	0.15	0.5	2
18	12	0.15	0.55	2
18	12	0.15	0.6	2
18	12	0.2	0.0	3
18	12	0.2	0.05	3
18	12	0.2	0.1	4
18	12	0.2	0.15	3
18	12	0.2	0.2	3
18	12	0.2	0.25	1
18	12	0.2	0.3	1
18	12	0.2	0.35	3
18	12	0.2	0.4	1
18	12	0.2	0.45	3
18	12	0.2	0.5	3
18	12	0.2	0.55	1
18	12	0.2	0.65	1
18	12	0.2	0.7	1
18	12	0.2	0.85	2
18	12	0.2	0.9	1
18	12	0.2	1.0	1
18	12	0.25	0.0	5
18	12	0.25	0.05	2
18	12	0.25	0.1	2
18	12	0.25	0.15	1
18	12	0.25	0.2	1
18	12	0.25	0.25	1
18	12	0.25	0.3	2
18	12	0.25	0.35	3
18	12	0.25	0.4	4
18	12	0.25	0.45	1
18	12	0.25	0.5	1
18	12	0.25	0.55	1
18	12	0.25	0.6	2
18	12	0.25	0.7	1
18	12	0.25	0.75	1
18	12	0.25	0.95	1
18	12	0.3	0.0	2
18	12	0.3	0.05	1
18	12	0.3	0.2	2
18	12	0.3	0.25	4
18	12	0.3	0.3	1
18	12	0.3	0.4	2
18	12	0.3	0.45	2
18	12	0.3	0.5	1
18	12	0.3	0.55	1
18	12	0.3	0.6	1
18	12	0.3	0.8	1
18	12	0.3	0.85	1
18	12	0.3	0.9	1
18	12	0.3	0.95	1
18	12	0.35	0.0	2
18	12	0.35	0.05	3
18	12	0.35	0.1	2
18	12	0.35	0.2	1
18	12	0.35	0.25	3
18	12	0.35	0.3	1
18	12	0.35	0.35	1
18	12	0.35	0.4	2
18	12	0.35	0.45	2
18	12	0.35	0.55	2
18	12	0.35	0.7	1
18	12	0.35	0.8	1
18	12	0.35	0.85	1
18	12	0.35	0.9	2
18	12	0.4	0.0	4
18	12	0.4	0.05	2
18	12	0.4	0.1	1
18	12	0.4	0.15	1
18	12	0.4	0.3	2
18	12	0.4	0.35	1
18	12	0.4	0.55	2
18	12	0.4	0.6	1
18	12	0.4	0.75	1
18	12	0.4	0.8	1
18	12	0.4	0.95	1
18	12	0.45	0.1	2
18	12	0.45	0.15	1
18	12	0.45	0.25	3
18	12	0.45	0.35	2
18	12	0.45	0.45	1
18	12	0.45	0.5	1
18	12	0.45	0.55	1
18	12	0.45	0.6	1
18	12	0.45	0.75	2
18	12	0.45	0.8	1
18	12	0.5	0.05	1
18	12	0.5	0.2	3
18	12	0.5	0.25	1
18	12	0.5	0.35	1
18	12	0.5	0.4	2
18	12	0.5	0.45	1
18	12	0.5	0.5	1
18	12	0.5	0.55	1
18	12	0.5	0.75	1
18	12	0.5	0.8	1
18	12	0.5	0.85	1
18	12	0.5	0.95	1
18	12	0.55	0.0	1
18	12	0.55	0.2	1
18	12	0.55	0.3	1
18	12	0.55	0.4	1
18	12	0.55	0.45	1
18	12	0.55	0.55	1
18	12	0.55	0.6	2
18	12	0.55	0.7	1
18	12	0.55	0.75	1
18	12	0.6	0.0	1
18	12	0.6	0.05	1
18	12	0.6	0.3	1
18	12	0.6	0.45	1
18	12	0.6	0.5	1
18	12	0.6	0.6	3
18	12	0.6	0.7	2
18	12	0.6	0.75	1
18	12	0.6	1.0	1
18	12	0.65	0.15	1
18	12	0.65	0.3	1
18	12	0.65	0.35	1
18	12	0.65	0.4	2
18	12	0.65	0.45	1
18	12	0.65	0.55	2
18	12	0.65	0.6	1
18	12	0.65	0.65	1
18	12	0.65	0.7	2
18	12	0.65	0.85	1
18	12	0.65	0.9	2
18	12	0.7	0.1	1
18	12	0.7	0.25	1
18	12	0.7	0.65	1
18	12	0.7	0.7	1
18	12	0.7	0.75	3
18	12	0.7	0.85	1
18	12	0.7	1.0	1
18	12	0.75	0.5	1
18	12	0.75	0.6	1
18	12	0.75	0.65	2
18	12	0.75	1.0	2
18	12	0.8	0.1	1
18	12	0.8	0.25	1
18	12	0.8	0.3	3
18	12	0.8	0.35	1
18	12	0.8	0.4	1
18	12	0.8	0.45	3
18	12	0.8	0.55	1
18	12	0.8	0.65	2
18	12	0.8	0.85	1
18	12	0.8	0.9	2
18	12	0.8	0.95	2
18	12	0.8	1.0	2
18	12	0.85	0.05	1
18	12	0.85	0.1	1
18	12	0.85	0.6	1
18	12	0.85	0.65	1
18	12	0.85	0.7	1
18	12	0.85	0.75	1
18	12	0.85	0.95	2
18	12	0.85	1.0	3
18	12	0.9	0.65	1
18	12	0.9	0.8	1
18	12	0.9	0.95	2
18	12	0.9	1.0	6
18	12	0.95	0.65	2
18	12	0.95	0.7	1
18	12	0.95	0.85	1
18	12	0.95	0.9	1
18	12	0.95	0.95	1
18	12	1.0	0.55	1
18	12	1.0	0.7	2
18	12	1.0	0.8	1
18	12	1.0	0.85	1
18	12	1.0	0.9	1
18	12	1.0	0.95	1
18	13	0.0	0.05	13
18	13	0.0	0.1	14
18	13	0.0	0.15	10
18	13	0.0	0.2	5
18	13	0.0	0.25	5
18	13	0.0	0.3	2
18	13	0.0	0.35	1
18	13	0.0	0.4	1
18	13	0.0	0.45	1
18	13	0.0	0.55	3
18	13	0.0	0.85	1
18	13	0.05	0.0	13
18	13	0.05	0.05	4
18	13	0.05	0.1	1
18	13	0.05	0.15	6
18	13	0.05	0.2	4
18	13	0.05	0.25	4
18	13	0.05	0.3	1
18	13	0.05	0.35	1
18	13	0.05	0.4	1
18	13	0.05	0.45	1
18	13	0.05	0.55	1
18	13	0.1	0.0	15
18	13	0.1	0.05	5
18	13	0.1	0.1	6
18	13	0.1	0.15	2
18	13	0.1	0.2	3
18	13	0.1	0.25	2
18	13	0.1	0.3	2
18	13	0.1	0.35	1
18	13	0.1	0.4	1
18	13	0.1	0.45	3
18	13	0.1	0.5	1
18	13	0.1	0.6	1
18	13	0.1	0.7	1
18	13	0.1	0.8	1
18	13	0.15	0.0	8
18	13	0.15	0.05	2
18	13	0.15	0.1	2
18	13	0.15	0.15	2
18	13	0.15	0.2	3
18	13	0.15	0.25	1
18	13	0.15	0.3	2
18	13	0.15	0.35	1
18	13	0.15	0.4	4
18	13	0.15	0.45	2
18	13	0.15	0.55	2
18	13	0.15	0.95	1
18	13	0.15	1.0	1
18	13	0.2	0.0	4
18	13	0.2	0.05	1
18	13	0.2	0.1	4
18	13	0.2	0.15	3
18	13	0.2	0.2	3
18	13	0.2	0.25	1
18	13	0.2	0.3	1
18	13	0.2	0.35	2
18	13	0.2	0.4	2
18	13	0.2	0.45	2
18	13	0.2	0.55	2
18	13	0.2	0.6	1
18	13	0.2	0.65	3
18	13	0.2	0.7	1
18	13	0.2	0.85	1
18	13	0.2	1.0	1
18	13	0.25	0.0	5
18	13	0.25	0.05	2
18	13	0.25	0.1	2
18	13	0.25	0.15	2
18	13	0.25	0.2	1
18	13	0.25	0.25	1
18	13	0.25	0.35	2
18	13	0.25	0.4	2
18	13	0.25	0.45	2
18	13	0.25	0.5	4
18	13	0.25	0.55	4
18	13	0.25	0.7	2
18	13	0.25	0.8	1
18	13	0.3	0.0	5
18	13	0.3	0.05	2
18	13	0.3	0.15	1
18	13	0.3	0.2	5
18	13	0.3	0.25	1
18	13	0.3	0.3	3
18	13	0.3	0.35	1
18	13	0.3	0.4	2
18	13	0.3	0.5	2
18	13	0.3	0.6	1
18	13	0.3	0.65	1
18	13	0.3	0.7	1
18	13	0.3	0.75	3
18	13	0.3	0.8	1
18	13	0.35	0.0	5
18	13	0.35	0.05	2
18	13	0.35	0.1	2
18	13	0.35	0.2	4
18	13	0.35	0.3	2
18	13	0.35	0.35	1
18	13	0.35	0.4	2
18	13	0.35	0.45	1
18	13	0.35	0.5	2
18	13	0.35	0.6	4
18	13	0.35	0.65	1
18	13	0.35	0.7	1
18	13	0.35	0.75	2
18	13	0.35	0.8	1
18	13	0.4	0.0	3
18	13	0.4	0.1	1
18	13	0.4	0.2	1
18	13	0.4	0.25	2
18	13	0.4	0.3	2
18	13	0.4	0.45	2
18	13	0.4	0.5	4
18	13	0.4	0.55	1
18	13	0.4	0.6	1
18	13	0.4	0.65	2
18	13	0.4	0.7	1
18	13	0.4	0.8	2
18	13	0.4	0.85	1
18	13	0.4	0.95	2
18	13	0.45	0.05	2
18	13	0.45	0.15	1
18	13	0.45	0.2	2
18	13	0.45	0.25	1
18	13	0.45	0.35	3
18	13	0.45	0.45	2
18	13	0.45	0.5	2
18	13	0.45	0.6	2
18	13	0.45	0.65	1
18	13	0.45	0.7	1
18	13	0.45	0.75	1
18	13	0.45	0.85	1
18	13	0.45	0.9	1
18	13	0.5	0.0	2
18	13	0.5	0.2	2
18	13	0.5	0.4	2
18	13	0.5	0.45	1
18	13	0.5	0.5	2
18	13	0.5	0.55	1
18	13	0.5	0.6	2
18	13	0.5	0.65	1
18	13	0.5	0.7	1
18	13	0.5	0.8	5
18	13	0.5	0.9	1
18	13	0.55	0.15	1
18	13	0.55	0.2	1
18	13	0.55	0.25	1
18	13	0.55	0.35	2
18	13	0.55	0.4	1
18	13	0.55	0.45	1
18	13	0.55	0.6	1
18	13	0.55	0.65	1
18	13	0.55	0.7	1
18	13	0.55	0.8	1
18	13	0.55	0.9	2
18	13	0.55	0.95	1
18	13	0.6	0.15	1
18	13	0.6	0.25	1
18	13	0.6	0.35	1
18	13	0.6	0.4	1
18	13	0.6	0.5	1
18	13	0.6	0.55	1
18	13	0.6	0.6	1
18	13	0.6	0.65	1
18	13	0.6	0.85	1
18	13	0.65	0.1	2
18	13	0.65	0.15	1
18	13	0.65	0.2	2
18	13	0.65	0.25	1
18	13	0.65	0.35	1
18	13	0.65	0.4	1
18	13	0.65	0.5	1
18	13	0.65	0.55	1
18	13	0.65	0.6	1
18	13	0.65	0.65	1
18	13	0.65	0.7	1
18	13	0.65	0.75	1
18	13	0.65	0.8	1
18	13	0.65	0.85	2
18	13	0.65	0.9	3
18	13	0.7	0.0	1
18	13	0.7	0.25	1
18	13	0.7	0.4	1
18	13	0.7	0.45	1
18	13	0.7	0.5	2
18	13	0.7	0.6	2
18	13	0.7	0.65	2
18	13	0.7	0.7	1
18	13	0.7	0.8	1
18	13	0.7	0.85	1
18	13	0.7	0.95	1
18	13	0.7	1.0	1
18	13	0.75	0.2	3
18	13	0.75	0.25	1
18	13	0.75	0.35	1
18	13	0.75	0.4	1
18	13	0.75	0.45	1
18	13	0.75	0.6	2
18	13	0.75	0.65	1
18	13	0.75	0.7	1
18	13	0.75	0.75	1
18	13	0.75	0.8	2
18	13	0.75	0.85	1
18	13	0.75	0.9	2
18	13	0.75	1.0	4
18	13	0.8	0.0	1
18	13	0.8	0.2	2
18	13	0.8	0.3	1
18	13	0.8	0.4	1
18	13	0.8	0.45	1
18	13	0.8	0.5	1
18	13	0.8	0.6	1
18	13	0.8	0.85	3
18	13	0.8	1.0	1
18	13	0.85	0.45	1
18	13	0.85	0.5	1
18	13	0.85	0.75	2
18	13	0.85	0.8	1
18	13	0.85	1.0	1
18	13	0.9	0.25	2
18	13	0.9	0.35	1
18	13	0.9	0.6	1
18	13	0.9	0.8	2
18	13	0.9	0.95	1
18	13	0.9	1.0	1
18	13	0.95	0.1	1
18	13	0.95	0.5	1
18	13	0.95	0.6	2
18	13	0.95	0.7	1
18	13	0.95	0.8	1
18	13	0.95	0.9	1
18	13	1.0	0.65	1
18	13	1.0	0.8	1
18	13	1.0	0.9	1
18	13	1.0	0.95	1
18	14	0.0	0.05	10
18	14	0.0	0.1	9
18	14	0.0	0.15	2
18	14	0.0	0.2	3
18	14	0.0	0.25	2
18	14	0.0	0.3	5
18	14	0.0	0.35	1
18	14	0.0	0.4	1
18	14	0.0	0.5	2
18	14	0.0	0.6	1
18	14	0.05	0.0	26
18	14	0.05	0.05	6
18	14	0.05	0.1	5
18	14	0.05	0.15	7
18	14	0.05	0.2	2
18	14	0.05	0.4	2
18	14	0.05	0.45	1
18	14	0.05	0.6	2
18	14	0.1	0.0	10
18	14	0.1	0.1	1
18	14	0.1	0.15	4
18	14	0.1	0.25	2
18	14	0.1	0.3	3
18	14	0.1	0.4	1
18	14	0.1	0.45	2
18	14	0.1	0.5	2
18	14	0.1	0.55	1
18	14	0.1	0.65	1
18	14	0.1	0.75	1
18	14	0.1	0.9	1
18	14	0.15	0.0	11
18	14	0.15	0.05	2
18	14	0.15	0.1	3
18	14	0.15	0.15	2
18	14	0.15	0.2	3
18	14	0.15	0.25	2
18	14	0.15	0.3	2
18	14	0.15	0.35	1
18	14	0.15	0.4	1
18	14	0.15	0.45	4
18	14	0.15	0.5	1
18	14	0.15	0.55	4
18	14	0.15	0.75	1
18	14	0.15	0.8	1
18	14	0.2	0.0	5
18	14	0.2	0.05	3
18	14	0.2	0.1	5
18	14	0.2	0.15	6
18	14	0.2	0.2	4
18	14	0.2	0.25	2
18	14	0.2	0.3	2
18	14	0.2	0.35	6
18	14	0.2	0.4	2
18	14	0.2	0.45	2
18	14	0.2	0.55	2
18	14	0.2	0.8	1
18	14	0.25	0.0	9
18	14	0.25	0.05	2
18	14	0.25	0.1	3
18	14	0.25	0.15	1
18	14	0.25	0.2	3
18	14	0.25	0.25	4
18	14	0.25	0.3	1
18	14	0.25	0.35	1
18	14	0.25	0.4	2
18	14	0.25	0.5	1
18	14	0.25	0.65	2
18	14	0.25	0.8	1
18	14	0.3	0.0	2
18	14	0.3	0.05	3
18	14	0.3	0.1	2
18	14	0.3	0.15	1
18	14	0.3	0.2	3
18	14	0.3	0.25	4
18	14	0.3	0.3	2
18	14	0.3	0.35	5
18	14	0.3	0.4	2
